Top 5 Products,Image Link,About,Price ,Features,Category
boAt Immortal 1000D,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main_green_551e0f56-cb9c-4910-be88-3c9fd1383c50_600x.png?v=1652363760,"The game begins here. With Immortal 1000D gaming headphones, don’t just play the game - feel it, live it, and own it. Level up your audio game with 7.1 Channel Surround Sound and Dolby Atmos that unleashes the winning beast inside you. Equipped with 50mm drivers, get a powerful 360° gaming experience like no other. Now, you can conquer every game with a sound that provides position accuracy and abstracts. Your everyday gaming is now double the fun with its RGB LED lights. Its lightweight and ergonomic build ensure you have a comfortable bender with your friends. Don’t look further, level up with Immortal 1000D headphones.","Sale price?  2,099","Speaker Driver                   : 50 * 5mm
Speaker Sensitivity            : 98±3dB
Speaker Impedance          : 32O± 15%
Plug/Connectivity              : USB
LED Type                             : Breathing LED (RGB)
Mic Sensitivity                    : -40±3dB
Mic Frequency                    : 100-10KHz
Mic Type                              : Omni-Directional
Cord Length                         : 1.8m
Control                                 : On-Cable Remote
7.1 Application                    : 7.1 Virtual Surround Sound (boAt Plugin Labz)
Sound Isolation                   : Yes
Country Of Origin                : China",Immortal Gaming
boAt Immortal 200,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main-bl_600x.png?v=1625748090,"Leave your opponents begging for mercy as you show them who’s the real boss. Welcome, Immortal 200 gaming headphones. The 7.1 Channel Surround Sound is here to give you a theatre-like 360° audio experience. Its powerful 50mm drivers and boAt Signature Sound will make your gaming experience hit the roof. Emerge victorious every time with its surround sound that provides flawless positional accuracy. Its cool RGB LED lights will set the mood right and celebrate your every victory. Furthermore, its ergonomic build will let you play comfortably to your heart’s satisfaction. Don’t look further, level up with Immortal 200 headphones.","Sale price?  1,599","Speaker Driver               : 50mm
Speaker Sensitivity        : 100±3dB
Speaker Impedance      : 32O
Plug/Connectivity          : USB
LED Type                          : Breathing LED (RGB)
Mic Sensitivity                 : 50-10KHz
Mic Impedance               : 20Khms
Mic Type                          : Uni-Directional
Cord Length                     : 2m
Braiding Type                   : Braided
7.1 Application                : 7.1 Virtual Surround Sound (boAt Plugin Labz)
Earmuffs Type                 : Extra soft for long sessions
Country Of Origin            : China",Immortal Gaming
boAt Immortal 1300,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/IM1300-FI_Blue06_800x.png?v=1659425496,"When you put your heart and soul into gaming, make sure your headphones do it too. Presenting, the next generation of gaming headphones - Immortal 1300. Powered by Driverless 3D Spatial Sound, immerse in the game’s world and achieve pinpoint positional accuracy. Accelerate your performance with its ultra-low latency of 35ms that’s built to win you matches. It comes with breathable, high-quality earmuffs and headband to keep you comfortable during intense gaming sessions. Elevate your gaming experience with its automatic RGB breathing LEDs and dual microphone that makes your in-game communication top-notch. And when you’re not gaming, dive into the entertainment of your choice with boAt Signature Music Mode. Level up your game with Immortal 1300.","Sale price?  2,999","Speaker Driver                   : 40mm*6.9mm(H)
Speaker Sensitivity            : 116±3dB at 1 KHz
Speaker Impedance          : 32O±15% O
Response Frequency         : 20Hz-20KHz
LED Type                              : Breathing LED (RGB)
Mic Sensitivity                     : -42±3dB (primary), 34±3dB (passive)
Mic Frequency                     : 100-10KHz (both)
Total Harmonic Distotion  : =5%
Play Time                               : >33 hours without RGB and 11.5 hours with RGB
Charging Time                       : 4.33 hours
Country Of Origin                 : Vietnam",Immortal Gaming
boAt Immortal 300 Headphone,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/2_5b22314d-3d06-41ee-8ff8-6dbc83e27ab1_800x.png?v=1658573936,"Immortal 300 brings you the best that gaming has to offer. Be extraordinary on the battlefield as you defeat the enemies with the help of 50mm drivers, 3D driverless spatial audio and ENx Technology. If you’re a streamer, let the world witness a badass in action with RGB lights while you top the score charts and do the shuffle. Immortal 300 comes with support for PC, mobile and consoles as long as you plug in the jack.","Sale price?  1,999","Speaker Driver            : 50mm
Speaker Sensitivity     : 100±3dB
Speaker Impedance   : 32O
Plug/Connectivity       : USB
LED Type                      : Breathing LED (RGB)
Mic Sensitivity             : 50-10KHz
Mic Impedance           : 20Khms
Mic Type                       : Uni-Directional
Cord Length                  : 2m
Braiding Type                : Braided
Earmuffs Type              : Extra soft for long sessions
Country Of Origin        : China",Immortal Gaming
boAt Immortal 400,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/IM400-FI02_800x.png?v=1659425849,"Change the way you game with Immortal 400 — our all-new gaming headphones with 7.1 Channel Virtual Surround Audio. The 50mm drivers will increase your immersion and awareness on the battlefield. Let everybody feel your vibe with its RGB LED lights. It comes with smooth audio, mic driver customization and a remote control to seamlessly control audio, mic, & LEDs while in-game. Its cosy earmuffs & over the ear comfort is made for persistent gamers who enjoy taking that extra mile. So, what are you waiting for? #LevelUpWithboAt by bringing home Immortal 400.","Sale price?  1,999","Speaker Driver             : 50mm
Speaker Sensitivity      : 106dB±3dB at 1 KHz
Speaker Impedance    : 24±15% O
Plug/Connectivity        : USB
LED Type                       : Real RGB
Mic Sensitivity              : -42±3dB
Mic Impedance            : 2.2KO
Mic Type                        : Omni-Directional
Cord Length                   : 2.3m
Control                           : On-Cable Remote
7.1 Application              : 7.1 Surround Sound by PLugin Labz
Country Of Origin          : China",Immortal Gaming
boAt Airdopes 441 Pro,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/AD441Pro-FI-DC_Batman02_800x.png?v=1656100016,"Listen to the sound of justice on the Airdopes 441 Pro DC Edition with boAt Signature Sound. With a battery backup as heavy as a Batman punch, our true wireless earbuds has a total backup of 150 hours. Get ready to don the one of the most iconic characters on your favourite Airdopes.",Sale price? 2199,"Headphone Type                        : In-Ear
HD Sound                                     : Yes
Bluetooth Version                      : V5.0+EDR
Driver Size                                    : 6mm x 2 Drivers
Bluetooth Profiles                      : HSP, HFP, A2DP, AVRCP
Frequency                                     : 20Hz-20KHz
Voice Assistant                             : Yes
Charging Voltage                          : 5VDC
Earphone battery capacity         : 3.7V, 35mAh x 2 buds
Talk time/music time                   : 5 Hours per bud
Charging Time                               : 1.5 Hours
Standby Time                                 : 70 Hours
Bluetooth Range                           : 10M
Country Of Origin                          : China",Limited Edition
boAt Stone 170 LFW,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/64a076e9-ef0c-443d-b86e-16715212dd92_600x.png?v=1631788202,"The game of portability just got a boost with the boAt Stone 170, flip your scene anywhere anytime with the full 5W’s of power. A compact, lightweight and IPX 6 Water Resistant design makes it the perfect companion for a number of sceneries. Stay prepared with the boAt Stone 170. It is packed with a 1800mAh battery, with a push of up to 6 hours of playtime per listening session. So set the mood and accentuate the vibe with the boAt Stone 170. Pick your method of access with Wireless Bluetooth V4.2 and an SD card slot making it perfect for all situations. Extremely simple to navigate, utilize the integrated controls to access a wide range of functions. This includes True Wireless Function, meaning that you can set up two at the same time.","Sale price? 1,299.00","Speaker Type                         : Mono
IPX Rating                              : IPX6
Driver Type                            : Full range driver
Driver Size                             : 4.445 cm
Number of Drivers               : 1
Frequency Response           :180Hz-18kHz
Impedance                             : 4O
Wireless Technology Type  : Bluetooth
Bluetooth Version                :  V4.2
Bluetooth Range                   : 10M
Battery Capacity                   : 1800 mAh
Rated Power                          : 5W
Playing Time                           :  6 Hours                                                                                                                                                                                                                                                                                                                                                                          
Charging Time                        : 4 Hours
Microphone                            : Yes",Limited Edition
boAt Rockerz 450,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main-img-1_1_600x.png?v=1615965621,"It is time to turn heads with every step; presenting Masaba Edition Rockerz 450 wireless headphones! Who says fashion can’t be a comfortable affair? This beautifully crafted pair speaks for your style and lets you enjoy luxury comfort and beyond. With 40mm drivers, dive into your world with only crystal clear sound and nothing less. Thanks to its dynamic 300mAh battery that lasts up to 8 hours, you will never run out of groove and grace. Let this wireless pair be the ultimate escape into your world of music and the boldest expression of your free-spirited self.","Sale price? 1,299.00","Headphone Type             : On-Ear
Driver Type                       : Moving Coil Driver
Driver Size                         : 40 mm
Impedance                        : 32O
Sensitivity (dB)                  : Iead 108dB±3DB
Frequency Responsen     : 20Hz-20KHz
Battery Capacity (mAh)   : 300 mAh
Playback Time                   : 8 hours
Charging Time                   : L 3 hours
Standby Time                    : 400 hours
Bluetooth Version            : P  OQV4.2
Country Of Origin             : China
Compatibility                     : L All Bluetooth Devices
Bluetooth Range               : L10M",Limited Edition
boAt Airdopes 131 Iron Man,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/AD131-FI-IronBlood03_800x.png?v=1667502565,"boAt Airdopes 131 Iron Man Marvel Edition | Wireless Earbuds with 13mm Audio Drivers, Upto 15H Playback, IWP Technology, Voice Assistant, Type C Charging","Sale price? 1,599","Voice assistance on Siri and Google assistant
Lightweight with type C charging
IWP Technology with Bluetooth v5.0
3H per charge
12H with case
Upto 15H total playback
13mm Audio Drivers",Limited Edition
Stone 190 DC Edition,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/S190-FI-DC_Batman02_800x.png?v=1656101102,"Like darkness is avenged, fight bad vibes with the power of music with Stone 190 boAt | DC edition. Weaponed with 52mm massive dynamic drivers, achieve an immersive audio experience, every time. Find your superpower with seamless connectivity powered by the latest Bluetooth v5.0. And if wireless is not your game, stay plugged with AUX connectivity as well.
Faster Than a Bullet
Stone 190 is equipped with the latest Bluetooth V5.0 for quick wireless connectivity. It comes with multiple connectivity modes in the form of BT & AUX.",Sale price? 999.00,"Speaker Type                       : Mono
IPX Rating                             : IPX7
Driver Type                           : Full range driver
Driver Size                             : 5.2 cm
Number of Drivers               : 1
Frequency Response            : 70Hz-70kHz
Inpedance                              : 4O
Wireless Technology Type   : Bluetooth                            
Bluetooth Version                 : V5.0 + EDR
Bluetooth Range                   : 10M
Battery Capacity                    : 800 mAh
Rated Power                           : 5W
Playing Time                            : 4 Hours
Charging Time                         : 1.5 Hours
Country Of Origin                   : China
Microphone                             : Yes",Limited Edition
Misfit T200,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/963d0725-90b9-42a4-9fcc-a842968cfee4_600x.png?v=1625045778,"Get, set grooming with Misfit T200 at your service! Create a look for every occasion, whether formal or crazy. With a 0.5 to 12mm trimming range, leave everyone wondering where did you get the salon-style finish from. Men, it is time for you to make that look a hit with the trimmer for men, boAt Misfit!","Sale price? 1,699","TITANIUM BLADE
TRIMMING RANGE   : 0.5 - 12MM
BATTERY RUNTIME  : 120 Minutes
LENGTH SETTINGS    : * Office look with short stubble
                                        * Casual look with a consistent beard
                                        * Party look styled to get heads turning
CHARGING TIME       : 60 MINUTES
USB CHARGING
6 IN 1 GROOMING KIT",Misfit - Best Trimmer for Men
Misfit T50 Trimmer,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/d67adff0-f513-4b4b-abdc-226ee39287a6_600x.png?v=1625045409,"Perfect every style, every time with our all-new trimmer for men - Misfit T50. Be it a regular office stubble or that fancy party look, turn heads wherever you go with the power to create stare-worthy styles. Don a new look every day with its 0.5mm-20mm trimming range that gives you the freedom to be unapologetically you. Its long-lasting lithium battery provides 160 minutes of backup to save you from constant charging chores. Hey, it’s your time to speak your style with Misfit T50.",Sale price? 989,"Lasts Up to                 : 160 Minutes
TITANIUM BLADES
CHARGING TIME       : 1.5 HOURS
LENGTH SETTINGS    : 40 (EVERY 0.5 MM)
TRIMMING RANGE   : 0.5-20 MM
ERGONOMIC DESIGN
SAFETY LOCK",Misfit - Best Trimmer for Men
Misfit T30 Trimmer,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main_black_600x.png?v=1630646486,"It’s time to define your style with our Misfit T30 trimmer. Give your gorgeous face a salon finish makeover with its 4 guiding combs. Select from its 5 different length settings and pull off any look, from stubble to handlebars. It’s time to trim your hair with mastered precision as it comes equipped with 0.5 to 12mm blades. Go cordless for 60 mins with just 8 hours of charging and slay that look on the go. Experience a truly hassle-free experience with its stainless steel blades that glide on your screen smoothly. It’s time to bless the world with your vibe with Misfit T30 trimmer",Sale price? 769,"BATTERY RUNTIME     : 60 Minutes
Stainless Steel Blades
LENGTH SETTINGS       : (0.5 - 12 mm (0.5, 3, 6, 9, 12 mm)
Flexible USB Charging
6 IN 1 GROOMING KIT",Misfit - Best Trimmer for Men
Misfit T50 Lite,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main_efb2d946-02c5-412b-bb86-ce83807d2318_600x.png?v=1630646783,"The power to be truly you is here with Misfit T50 Lite - the best trimmer for men for all styling needs. Never let battery come in between your style with the option of both cord and cordless usage. Its fast charge technology empowers you with 120 mins of runtime within just 1.5 hours of charge. Forget the hassles of conventional trimmers, Misfit T50 Lite comes with long-lasting corrosion-resistant and 0.5mm blades to ensure an effortless styling experience no matter what style you pick. Planning a trip? Keep your Misfit close with its special travel safety lock that protects you from unwarranted surprises while you’re on the go. Choose to be nothing but yourself with Misfit T50 Lite.",Sale price? 879,"Charging Time           : 1.5 hours
Runtime of Battery  : 120 minutes
Stainless Steel Blades
Trimming range         : 0.5mm - 20mm
Length Settings          : multiple length settings and 2 guiding combs
SAFETY LOCK FOR SAFER TRAVELS
Cord/ Cordless
Ergonomic Design
Micro USB charging",Misfit - Best Trimmer for Men
Misfit T200 3-in-1 Grooming Kit for Men,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/Untitled-3_800x.png?v=1661405585,"The 3-in-1 T200 Grooming Kit is here to give you a salon-like finish with ease. So let’s say hi to #YourStyleWingman, that’s focused to help you with beard styling, nasal hair trimming, and manscaping needs.","Sale price? 1,199","TITANIUM BLADE
TRIMMING RANGE   : 0.5 - 12MM
BATTERY RUNTIME  : 120 Minutes
LENGTH SETTINGS    : * Office look with short stubble
                                        * Casual look with a consistent beard
                                        * Party look: Styled beard or Zero beard
CHARGING TIME        : 1.5 Hours
USB CHARGING
CORD/CORDLESS USAGE",Misfit - Best Trimmer for Men
boAt Deuce USB 300,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/5abfc4a1-e100-42da-ba97-1b540446596e_600x.png?v=1625046268,"boAt Deuce USB 300 2-in-1 Type C + Micro USB cable is compatible with most smartphones, tablets, PC peripherals, Bluetooth speakers, power banks, game consoles, cameras, hard drives and all other Type C or Micro USB port enabled devices. The cable ensures 3A fast charging and data transmissions with rapid sync at 480 mbps. The premium braided skin makes it tough and the stress resistant, flexible design makes it last 10 times longer than other standard cables. With 10000+ Bends Lifespan the Aluminium alloy shell housing offers longevity with extended frame protection for strain relief. Deuce USB 300 cable offers a perfect 1.5 meters in length for smooth & hassle free user experience.",Sale price? 329,"Universal Compatibility: 2-in-1 Type C + Micro USB cable.
3A fast charging and data transmissions with rapid sync at 480 Mbps.
Premium Nylon Braided Skin.
Resilient and flexible design.
Aluminum alloy shell housing with 10000+ Bends Lifespan.
2 years warranty provided by the manufacturer from date of purchase",Mobile Accessories
boAt Rugged V3 Micro,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/rugged-v3-blue_600x.png?v=1613457268,"The boAt lifestyle rugged Micro USB cables are really rugged and made to be compatible with all micro USB devices. No warning message works the same as the cable you get with your device. Connects to your Smartphones, Mp3 Players, or other micro USB supported devices and charges or syncs by connecting the USB connector into your wall charger or computer. Fully supports data sync and battery re-charging for any micro USB device. No need to wrap, the cable design makes them tangle-free. Choose your style to charge in. Plug it in, plug into Nirvana.",Sale price? 299,"Universal Compatibility: Compatible with all Micro USB enabled devices.
2.4A rapid charge, fast data transmission, and rapid speed to sync your device at the speed up to 480mbps.
Superior Build & Tangle-free: Braided Cable.
Extra tough polyethylene terephthalate cable skin ensures 10000 plus bend lifespan, stress, and stretch resistance.
The boAt rugged cable features our special toughest polyethylene braided jacket.
2 years warranty provided by the manufacturer from date of purchase",Mobile Accessories
